,links
0,https://www.dmr.gov.za/news-room/post/1928/meeting-of-the-presidential-climate-commission-on-just-energy-transition-virtual-platform
1,https://www.eskom.co.za/about-eskom/just-energy-transition-jet/
2,https://www.eskom.co.za/world-bank-approves-r9-billion-concessional-loan-facility-for-komati-power-station-repurposing-and-just-energy-transition/
3,https://www.eskom.co.za/exxaro-and-seriti-resources-join-forces-with-eskom-in-realising-a-just-energy-transition-to-a-low-carbon-future-in-south-africa/
4,https://green-cape.co.za/sector/energy/utility-scale-renewable-energy/
5,https://sawea.org.za/initial-just-energy-transition-work-points-to-need-to-cushion-coal-regions/
6,https://sawea.org.za/wind-industry-stands-together-in-support-of-the-just-energy-transition-training-facility-in-mpumalanga/
7,https://sawea.org.za/sawea-announces-chair-to-lead-wind-energy-transition/
8,https://sawea.org.za/biztrends2021-just-energy-transition-will-continue-to-accelerate/
9,https://sawea.org.za/just-energy-transition-kicks-off-with-support-from-mpumalanga-schools-and-stakeholders/
10,https://sawea.org.za/board-appointment-to-support-the-drive-of-sustainable-energy-transition/
11,https://www.sapvia.org.za/technical-advisor-power-sector-reform-and-just-energy-transition-under-the-south-african-german-energy-programme-sagen/
12,https://www.csir.co.za/energy-industry-0
13,"https://www.csir.co.za/energy-industry-0#:~:text=The%20CSIR%20aims%20to%20lead,in%20regions%20most%20adversely%20affected."
14,https://www.csir.co.za/csir-and-afd-partner-generate-local-knowledge-advance-south-africa%E2%80%99s-just-energy-transition
15,https://www.csir.co.za/res4africa-foundation-welcomes-csir-and-nedbank-among-its-partners
16,https://www.csir.co.za/renewable-energy-development-zones
17,https://saesa.org.za/wptest/wp-content/uploads/2019/11/2019-09-17-IDC_The-energy-transition-and-opportunities-for-South-Africa-in-cleaner-fuels_SAESA-1.pdf
18,https://www.climatecommission.org.za/south-africas-jet-ip
19,https://www.climatecommission.org.za/just-energy-transition
20,https://sawea.org.za/category/sarec-campaign/
21,https://www.nersa.org.za/
22,https://www.gov.za/about-government/government-programmes/renewable-independent-power-producer-programme
23,https://www.sasol.com/
24,https://www.enelgreenpower.com/
25,https://www.mainstreamrp.com/
26,https://bterenewables.com/
27,https://scatec.com/
28,https://www.globeleq.com/
29,https://www.engie.com/
30,https://www.edf-renouvelables.com/
31,https://sr.energy/
33,https://www.h1holdings.co.za/
34,https://www.juwi.com/
35,https://www.edpr.com/en
36,https://www.pelegreenenergy.com/
37,https://www.windlab.com/
38,https://www.rotekindustries.co.za/Pages/Landing.aspx
39,https://www.gov.za/issues/national-development-plan-2030
40,https://www.brics2017.org/English/
41,https://www.engineeringnews.co.za/article/initial-just-energy-transition-work-points-to-need-to-cushion-coal-regions-2019-07-03
42,https://www.bizcommunity.com/Article/196/723/211906.html
43,https://www.ipp-renewables.co.za/
44,https://forms.office.com/r/3K63ULTN3P
45,https://www.nedbank.co.za
46,https://www.res4africa.org/2020/09/23/a-just-energy-transition-in-south-africa/
47,https://www.res4africa.org/webinar-jet-za/
48,https://www.res4africa.org/ampowering-connexions/
49,https://www.enel.com/careers/working-at-enel/spontaneous-application
50,https://jobs.enel.com/en_US/careers/JobOpenings
51,https://jobs.enel.com/en_US/SpontaneousApplication
52,https://www.enel.com/
53,https://www.enelx.com/en
54,https://www.enelxway.it/en/home
55,https://globaltrading.enel.com/en.html
56,https://openinnovability.enel.com/
57,https://globalprocurement.enel.com/
58,https://www.enelfoundation.org/
59,https://www.enelcuore.it/en
60,https://secure.ethicspoint.eu/domain/media/en/gui/102504/index.html
61,https://www.sasolinsport.co.za/
62,https://www.sasolsignatures.co.za/
63,https://www.solarchallenge.org.za/
64,https://www.sasolrewards.co.za/
65,https://www.sasolbursaries.com/welcome/
66,https://www.sasolkhanyisa.com/
68,https://myim.service-now.com/csm
70,https://www.piidigital.co.za/
71,https://www.engie-homeservices.fr
72,https://stem.no
73,https://www.edf.fr/
74,https://edf-re.com.br/
75,https://www.edf-re.ca/
76,https://www.edf-re.de/
77,https://www.edf-re.in/
78,https://eden-re.com/
79,https://www.edf-re.mx/
80,https://edf-re.co.za/
81,https://www.edf-re.com/
82,https://www.edf-re.uk/
83,https://app.convercent.com/en-US/LandingPage/79b275f1-dec7-ec11-a98b-000d3ab9f296
84,https://www.thewebkitchen.co.uk/
86,https://portugal.edp.com/en
87,https://espana.edp.com/en
88,https://brasil.edp.com/en
89,https://portugal.edp.com/
91,https://brasil.edp.com
92,https://www.edp.com/en/edp/strategy
93,https://www.juwi-shizenenergy.com/
94,https://www.juwiamericas.com/
95,https://www.xing.com/company/juwi-gruppe/updates
96,https://www.supronet.co.za/
97,https://roggeveldwindfarm.energy/
98,https://kangnaswind.co.za/
99,https://perdekraaleastwind.co.za/
100,https://www.enelgreenpower.com/media/press/2021/12/garob-wind-farm-ready-commercial-operation
101,https://www.enelgreenpower.com/our-projects/operating/nxuba-wind-farm
102,https://www.enelgreenpower.com/our-projects/operating/oyster-bay-wind-farm
103,https://scatecsolar.com/2018/04/10/scatec-solar-reaches-financial-close-for-258-mw-in-south-africa/
105,https://sproutperformance.com/
106,https://www.esi-africa.com/wind-power-pele-green-energy-wins-280mw-in-reipppp-round-four/
