source,target,site,hyperlink
,,,
,,,
,,,
www.dmr.gov.za,www.facebook.com,https://www.facebook.com/Department-of-Mineral-Resources-212481992150861/,Facebook
www.dmr.gov.za,twitter.com,https://twitter.com/DMR_SA,Twitter
www.dmr.gov.za,www.gov.za,https://www.gov.za/issues/national-development-plan-2030,"
                    "
www.dmr.gov.za,www.brics2017.org,https://www.brics2017.org/English/,"
                    "
www.eskom.co.za,www.rotekindustries.co.za,https://www.rotekindustries.co.za/Pages/Landing.aspx,Rotek Industries
,,,
,,,
green-cape.co.za,www.youtube.com,https://www.youtube.com/watch?v=vCxWqA1rZOA,South African Renewable Energy Masterplan
green-cape.co.za,www.google.com,"https://www.google.com/maps/place/GreenCape/@-33.9162763,18.4210879,17z/data=!3m1!4b1!4m5!3m4!1s0x1dcc677b7224f2b9:0x4b21d6a993505e3f!8m2!3d-33.9162698!4d18.4232962",View Map
,,,
www.eskom.co.za,www.rotekindustries.co.za,https://www.rotekindustries.co.za/Pages/Landing.aspx,Rotek Industries
www.eskom.co.za,www.rotekindustries.co.za,https://www.rotekindustries.co.za/Pages/Landing.aspx,Rotek Industries
sawea.org.za,twitter.com,https://twitter.com/_sawea?ref_src=twsrc%5Etfw,Tweets by _sawea
,,,
,,,
,,,
www.csir.co.za,forms.office.com,https://forms.office.com/r/3K63ULTN3P,Alumni
,,,
www.csir.co.za,forms.office.com,https://forms.office.com/r/3K63ULTN3P,Alumni
,,,
,,,
,,,
www.csir.co.za,forms.office.com,https://forms.office.com/r/3K63ULTN3P,Alumni
,,,
www.csir.co.za,forms.office.com,https://forms.office.com/r/3K63ULTN3P,Alumni
,,,
,,,
,,,
www.csir.co.za,forms.office.com,https://forms.office.com/r/3K63ULTN3P,Alumni
,,,
www.csir.co.za,www.nedbank.co.za,https://www.nedbank.co.za,Nedbank
www.csir.co.za,www.nedbank.co.za,https://www.nedbank.co.za,Nedbank
www.csir.co.za,www.res4africa.org,https://www.res4africa.org/2020/09/23/a-just-energy-transition-in-south-africa/,A Just Energy Transition in South Africa
www.csir.co.za,www.res4africa.org,https://www.res4africa.org/webinar-jet-za/,online event
www.csir.co.za,www.res4africa.org,https://www.res4africa.org/ampowering-connexions/,AM-Powering Connexions
www.csir.co.za,forms.office.com,https://forms.office.com/r/3K63ULTN3P,Alumni
,,,
,,,
,,,
www.csir.co.za,forms.office.com,https://forms.office.com/r/3K63ULTN3P,Alumni
,,,
www.csir.co.za,forms.office.com,https://forms.office.com/r/3K63ULTN3P,Alumni
sawea.org.za,www.bizcommunity.com,https://www.bizcommunity.com/Article/196/723/211906.html,bizcommunity.com
sawea.org.za,twitter.com,https://twitter.com/_sawea?ref_src=twsrc%5Etfw,Tweets by _sawea
sawea.org.za,www.engineeringnews.co.za,https://www.engineeringnews.co.za/article/initial-just-energy-transition-work-points-to-need-to-cushion-coal-regions-2019-07-03,https://www.engineeringnews.co.za
sawea.org.za,twitter.com,https://twitter.com/_sawea?ref_src=twsrc%5Etfw,Tweets by _sawea
sawea.org.za,twitter.com,https://twitter.com/_sawea?ref_src=twsrc%5Etfw,Tweets by _sawea
