,sites,texts
0,www.dmr.gov.za,"Operating mines tenders multimedia opportunities. Contact faq's state owned entities.   meeting of the presidential climate commission on just energy transition, virtual platform. Date published: 30 jul 2021. Deputy chairperson of the commission, dr valli moosa. The executive director of the commission, dr olver. Thank you for this opportunity to engage again. the dmre welcomes the opportunity to engage with the commission on the just transition broadly, and to discuss the synergies with the work both the commission and the department are doing specifically on the just energy transition, and as far as our mandate and responsibility entails. I need to emphasise that this commission must engage with a diverse range of views, as this will allow us to also identify and focus on the blind spots in this complex discussion. this cannot just be a dialogue about financing and money, we need to understand the context of our domestic setting, which is characterised by rising unemployment and poverty. Let me further emphasize from the onset that as government, and in particular the ministry of mineral resources and energy, our key priority remains to ensure security of supply of affordable, accessible, and reliable energy as a catalyst for economic growth. therefore, our primary focus will be to continue working tirelessly to prioritise interventions that contribute to reducing high energy costs, whilst in parallel dealing with the high levels of unreliable supply of energy by stabilising the system through the implementation of the existing energy policy priorities. We want to take this opportunity to note and welcome ongoing dialogue on the proposed 2050 net zero pathways, and the contributions and engagement on the nationally determined contribution (ndc) under paris agreement ambition target by the commission. we are encouraged by the recognition that further ambition on ndc targets will be highly dependent on innovative international collaboration at technical, legal, and financial levels. we also support the collective belief that ambition can be realized through the requisite policy enablers and the means of implementation support by the developed countries, this as part of the rules based global governance order. Our efforts to shape resilience and to moderate and manage the transition risk will undeniably have to be framed in accord with national priorities and our sustainable development objectives and must consider context specific conditions. the transition is not and cannot be a one size fits all, violent pendulum swing. it is a process and a journey, and must be considered from its short-, medium- and long-term perspectives and outlooks. To this effect, we want to recall our previous input to this commission, where we indicated that we are pursuing the implementation of the integrated resource plan 2019 (irp 2019) as well as the national energy efficiency strategy (nees). at the same time, in collaboration with the dtic and other stakeholders, we are working to accelerate finalisation of the south african renewable energy master plan as well as the gas master plan. these instruments form part of providing a comprehensive energy framework with key objectives and targets on how to transition energy intensive sectors in south africa to a low-carbon path. The 2019 irp, which remains our guiding policy framework for electricity, proposes a path that ensures that we implement the proposed energy mix in a manner that also mitigates and manages the challenges and risks for a socially just transition that we will face, as the country moves to a low-carbon and climate resilient growth trajectory. energy security and market stability are key determinants for how we respond to various energy sources and choices. we therefore need to ensure that we take an open and balanced approach and try to avoid a competition of technologies, but rather to analyse and define the energy mix suited to our economic and developmental context. as such, we cannot avoid speaking about the role of gas and nuclear in our path towards lower carbon economy. for instance, the international energy agency, in both its net zero by 2050 and sustainable development scenarios, underline the critical role of nuclear fleets to low carbon transitions around the globe. as such, in the net zero pathways, amongst others, the iea sees renewable technologies and nuclear making up the global electricity supply system by 2050. we need to consider these matters in a frank manner, always underscoring the centrality of energy security and stability. We have observed a myriad of diverse efforts and initiatives on just transition and energy transition, albeit these are implemented in a fragmented and uncoordinated manner. at times these efforts create competing policy choice, and as such they are likely to render the efforts for just energy transition difficult to manage and quantify. we do hope that the pcc efforts in terms of setting the broad framework for just transition dialogue will allow for enhanced and stronger coordination and alignment. As part of our strategic commitment and delivery plan for this current financial year, we have conducted a study to map all these just energy transition initiatives to create a balanced, integrated, and enhanced effort that will enable us to ultimately agree on a pragmatic and balanced approach to the transition, and specifically a transition that is inclusive and does not leave anyone behind. the way we talk to the consequences of the decommissioning of coal power generation stations sometimes sounds like epwp is the option to replace jobs in the province. there is no appetite to discuss the alternative economic options, including for instance where gas is factored in as a low carbon technology, or even the application of advanced nuclear technologies in the form of smaller modular reactors. Work has commenced over the past few months on identifying key energy transition indicators relevant to our domestic context, as well as a modelling process that will look at the socio-economic impact of the implementation of the irp2019 mix of measures. while this work has not been fully presented to the broader commission, it has been consulted with some stakeholders, in anticipation of a broader public stakeholder engagement targeted at the third quarter of this year. It is in this context that it is important to forge continuous relations with the presidential climate commission, eskom, the departments of forestry fisheries and environment, public enterprises and national treasury on the one hand, and business labour, civil society to ensure concrete alignment of all efforts on just energy transition. We are pleased that the commission has initiated a steering committee to focus on among others, the specific energy transition issues, and we hope that this will be a great opportunity to rally not only the modelling expert capacity both within government and private sector, but also our social partners to work together on a common purpose. That will ultimately culminate in a clear, balanced, and inclusive framework for the implementation of the just energy transition. To this end, we hope that our collective efforts will be guided by the desire for realistic employment protection and diversification of opportunities for existing workers, compensation of the socio-economic impact of the transition and economic rejuvenation in especially coal areas; and importantly, ensuring energy security, in terms of both supply and affordability for south africa. we must continue to invest in cleaner coal technologies and innovation, and make sure that these options are not kept under the radar. some work is happening in this regard, and we need to intensify this effort. Therefore, as the department, we want to make the call to all stakeholders to act in a manner that contributes to a transition that ensures energy security as the flywheel for growth and development, that does not cause instability to the economy, that stimulate growth, build confidence, enhance competitiveness, but most importantly, create jobs through industrialised centred localisation and export sector growth. an engagement i have had with renewable energy sector players have accepted that manufacturing is not happening in this space, this must change, another area we need to engage on frankly. We are looking at the commission to discharge its responsibilities as an independent advisory body and to provide impartial support to our government in the development of the just transition, which ultimately should set the frame for how sectors, including the mining and energy sectors, will respond to our stated national objective of a low-carbon and climate resilient economy. Register for our media mailing list. Want to be updated regarding new information in your region, subscribe to our updates. To promote and regulate the minerals and mining for transformation, growth, development and ensure that all south africans derive sustainable benefit from the country's mineral wealth. the department of mineral resources aim to formulate and implement policy to ensure optimum use of the country's mineral resources. view more >. Trevenna campus, building 2 c,. Sitemap terms & conditions private policy © 2017 by prospero360. all rights reserved."
1,www.eskom.co.za,"Redefining for a better future. Eskom’s just energy transition (jet) office was established earlier in 2020 and has made significant strides to progress the evolution for transition towards a cleaner and greener energy future. jet’s vision focuses on achieving “net zero” carbon emissions by 2050, with an increase in sustainable jobs. some of  the additional benefits of moving towards lower carbon technologies, is the positive impact on air quality and water usage, the potential to create new exciting jobs, and a greater preservation of biodiversity in south africa. ‘transition’ describes the gradual movement towards lower carbon technologies, while ‘just’ qualifies that this transition will not negatively impact society, jobs and livelihoods. the just energy transition is important to the country and to our future growth and sustainability as an organisation. . Komati environmental and social reports. Re-invigorating, rejuvenating and redefining eskom’s. Destiny as we lead the energy transition into the future. Doing better for people and the planet. Transformational change of business models. Detailed studies of socio-economic impact of plant shutdown on employees and communities. Stimulate local manufacture and job creation, competiveness. Emission reductions – air quality and carbon emissions. Increasing share of renewable energy. Electricity access through micro grid options. Future of the generation business vis-à-vis increasing role of ipps. Separate coal and green business. A different eskom from what we now know – transmission, distribution, generation redefinition. Enable private  sector financing, partnerships. New revenue streams to contribute to jet. 086 00 37566 (customer services). Report fraud, corruption and illegal activities at: 0800 11 27 22."
2,www.eskom.co.za,"Redefining for a better future. World bank approves r9 billion concessional loan facility for komati power station repurposing and just energy transition. Friday, 04 november 2022: the world bank has today approved a $497 million (approximately r9 billion) concessional loan facility to eskom for the repurposing of komati power station. of this amount, $47.5 million is from the canadian clean energy and forest climate facility loan. . This followed successful meetings held over the past two months in washington dc by eskom and world bank executives that included managing director alexel van trotsenburg, south africa’s representative and alternate executive director, ayanda dlodlo, as well as victoria kwakwa, vice president: africa. The loan facility will cover three main components: decommissioning of the komati power station, repurposing and repowering of the station and other elements of the just energy transition, including provision for the training of eskom employees, community development and stakeholder initiatives. the first phase of the repurposing will install 150mw of photovoltaic, 70mw wind generating capacity, 150mw of battery energy storage system and synchronous condenser. The project has been approved by the eskom board. the loan will be guaranteed by the national treasury. “this is a significant development for south africa’s just energy transition to renewable energy as it brings the much-needed funding to enable eskom to train its employees and members of the host communities to empower them to continue playing a central role in the provision of clean energy for the country,” said mpho makwana, chairman of the eskom board. . Eskom and the south african renewable energy technology centre (saretec) recently signed an agreement to formalise their collaboration to develop renewable energy artisan skills, to support the implementation of the just energy transition. the objective is to educate, reskill, and upskill eskom komati power station staff and qualifying beneficiaries from the surrounding communities in the mpumalanga region. “this is in line with eskom’s drive to ensure that we prepare our people and have a pipeline of local skills ready for the inevitable transition, which will be just,” said eskom chief executive andré de ruyter. “given the accelerated global movement towards investment in a clean energy transition, there is a need in south africa to upskill, retrain and develop a workforce to take full advantage of the opportunities presented by this transition. to achieve this eskom is working with its recognised labour unions and representatives of the host community.”. Having commenced service in 1966, the last operating unit of komati (121mw) was shut down and ceased operations at the end of october 2022. . Stage 1 loadshedding will continue to be implemented daily at 05:00 – 16:00 and stage 2 at 16:00 – 05:00 until monday morning. Stage 2 loadshedding will be implemented daily from monday at 16:00 – 05:00 until further notice. Eskom’s annual results show improvement in financial performance, however, continued poor plant performance and high debt levels continue to be a concern. Spotlight on electricity safety to reduce casualties. Eskom to implement stage 2 loadshedding from 22:00 until 05:00 for two nights. Armed thieves attack eskom technicians in mabopane. Iaea concludes its review of preparations for koeberg power station long term operation. Nephew and uncle electrocuted in ekangala. 086 00 37566 (customer services). Report fraud, corruption and illegal activities at: 0800 11 27 22."
3,www.eskom.co.za,"Redefining for a better future. Exxaro and seriti resources join forces with eskom in realising a just energy transition to a low carbon future in south africa. Johannesburg, 25 october 2021: eskom, exxaro and seriti resources have announced the signing of a landmark memorandum of understanding (mou) that spells out their intention to pursue, co-operatively and individually, the development of renewable energy projects to lower carbon footprint at their operations. in doing so, the parties aim to create employment and re-skilling opportunities for communities living and working at and around their operations, and to take a step towards a just transition to a low carbon future in south africa.  exxaro and seriti are the largest coal suppliers to eskom, contributing around 80% of eskom’s coal supply per year. by implementing renewable energy solutions at their eskom-tied operations and at related eskom sites, seriti and exxaro aim to achieve both carbon reduction and cost savings in the generation and use of electricity at these mines. this is symbiotic with eskom’s mandate to provide electricity in an efficient and sustainable manner, which includes decarbonising its supply chain.  the first phase of the envisaged project pipeline will see the construction of a number of solar photovoltaic facilities both on-mine and at eskom sites. these may be behind-the-meter solutions (that is, off-grid) or wheeled solutions, or combinations of the two. the companies have committed to begin the projects as soon as possible, subject to regulatory approvals. further projects envisaged may include energy storage and possibly wind energy facilities.  under the mou, seriti envisages achieving a reduction in co2 emissions of up to 350,000 tonnes per annum, more than half of its current emissions of 700,000 tonnes of co2 equivalent through the consumption of coal-fired electricity generation. in respect of exxaro – the company envisages achieving a reduction in co2 emissions of up to 130,000 tonnes per annum at its matla coal mine, which represents a saving of 70% of the greenhouse gasses with matla at full production.  andré de ruyter, ceo of eskom said: “eskom continues to explore means to lower the cost of coal supplied to its power stations, and this investment allows it to advantage of the low cost of photovoltaic power this is one of the many initiatives eskom has embarked on to achieve a netzero status by 2050.”.  mxolisi mgojo, ceo of exxaro said: “this is a significant landmark development in south africa’s energy transition to a low carbon economy for three of south africa’s largest players in the mining and energy sectors. the investment in decarbonising our mining operations is a systematic and responsible approach to the energy transition without introducing risk to the country’s electricity generation. the collaboration amongst exxaro, seriti and eskom is exemplary of the possibilities achievable through co-operative and constructive relations between business and government in securing livelihoods and a future for south africa.”.  mike teke, ceo of seriti said: “we recognise that climate change and the need to decarbonise our economies is a significant challenge and imperative for south africa. but, at the same time, we are very conscious that this needs to be done in such a way that does not destroy our industrial base, or the lives of south africans that rely on our companies for jobs, enterprise and support: this is the very basis of a just transition. as a company we are fully committed to decarbonisation and a just transition, and in working with our partners – in business, government, labour and communities – in achieving this.”. Sikonathi mantshantsha +27 83 276 0606. Mzila mthenjane +27 83 417 6375. Tsabeng ntithe +27 76 371 6810. Alan fine + 27 83 250 0757. Charmane russell +27 82 372 5816. Eskom pledges to continue increased reliability maintenance programme to improve power system reliability. City power and eskom have agreed to work together to protect power grid in the national interest. Stage 2 loadshedding will be implemented from 17:00 – 22:00 tonight due to continued constraints on the power system. Eskom appoints service providers for its battery energy storage project. Update on the wage talks. Spotlight on electricity safety to reduce casualties. Mini-substation shortages delay infrastructure replacement in gauteng. 086 00 37566 (customer services). Report fraud, corruption and illegal activities at: 0800 11 27 22."
4,green-cape.co.za,"Electric vehiclesenergyenergy servicesmarket intelligence reportnewsrenewable energysustainable agriculturewaterwestern cape. Greencape’s renewable energy sector desk aims to support the growth of the large scale renewable energy sector, from project developers, equipment suppliers, technical advisors to financiers. the aim, in line with greencape’s objectives, is to attract investment into south africa as well as the creation of jobs – primarily in the manufacturing sector. Mir 2023 – large-scale renewable energy. News release: 2023 market intelligence reports highlight most promising green economy investment opportunities in south africa. South african renewable energy masterplan. Active climate change citizenship for a just transition in south africa. Designated local content market intelligence supplier database. Library resources: utility-scale renewable energy. Mir 2023 – large-scale renewable energy. 2023 industrialisation market intelligence report published!. Mir 2022 – utility-scale renewable energy. 2nd floor, aria north wharf, 42 hans strijdom ave,."
5,www.csir.co.za,"What are you looking for?. The csir’s energy industry research group, situated in pretoria, provides the scientific expertise necessary to address south africa’s growing energy needs from an economic and socio-economic perspective. the group focuses on developing pathways that lead to industrial development in the south african energy value chain. this is done through applying research and development as well as using science-based tools to provide analysis for mapping out various development scenarios. the group is leading the cross-cutting development of a “just energy transition and industry support plan” for south africa and for other african countries. the csir aims to lead research in support of an energy transition from a coal-based economy towards a sustainable, low-carbon energy future while supporting the development of small, medium and micro enterprises (smmes) in regions most adversely affected. this is in alignment with the csir strategic objective to help industry to re-industrialise and improve competitiveness. The csir focuses on quantifying and analysing the economic and socio-economic impacts of the energy transition with the aim of assisting stakeholders in planning the transition to ensure that it occurs in a just manner. concurrently, the csir is developing the capacity to assist smmes with their development to ensure that they can adequately respond to the new demand for skills and products in the transitioned energy domain.  . The main research themes mentioned above require various supporting research themes that include the changes in job creation associated with the energy transition, the skills requirement to support the transition, the localisation potential of new technology options in the south african energy domain and assessment of skills development programmes and initiatives to ensure a just transition. Power and energy sector jobs creation quantification. Mapping the political, socio and economic impacts of an energy transition on south africa’s power sector. Analyses of positive and negative impacts of an energy transition (at national, regional or even plant level). Analysing socio-economic and economic losses and gains in the energy value chain (mining, renewable energy, gas, coal). Energy sector value chain analysis which includes international jobs and economic development impacts (ijedi) analysis modelling, economic baseline profile assessment as well as techno-economics. Identification of localisation opportunities in the energy transition and quantifying metrics such as jobs and economic impact when localising various components and activities of the renewable energy value chain in south africa. Develop localisation road map in coal phase-out regions. Re-skilling framework for the energy transition. Options for repurposing of south african coal power stations and cost-benefit analysis. Sensitivity study of electricity tariffs associated with the transition and cost changes in technology costs in south africa. Capacity building with government officials on how to respond to the energy transition impact. Integration of smmes into the energy value chain: unpack smme opportunities in the renewable energy sector. Providing primarily smmes with technology development support, for their business concepts through the establishment of the energy industry support programme. Quick guide to ethics statement and code of conduct. Tel: + 27 12 841 2911. Copyright © csir 2023. all rights reserved."
6,www.csir.co.za,"What are you looking for?. The csir’s energy industry research group, situated in pretoria, provides the scientific expertise necessary to address south africa’s growing energy needs from an economic and socio-economic perspective. the group focuses on developing pathways that lead to industrial development in the south african energy value chain. this is done through applying research and development as well as using science-based tools to provide analysis for mapping out various development scenarios. the group is leading the cross-cutting development of a “just energy transition and industry support plan” for south africa and for other african countries. the csir aims to lead research in support of an energy transition from a coal-based economy towards a sustainable, low-carbon energy future while supporting the development of small, medium and micro enterprises (smmes) in regions most adversely affected. this is in alignment with the csir strategic objective to help industry to re-industrialise and improve competitiveness. The csir focuses on quantifying and analysing the economic and socio-economic impacts of the energy transition with the aim of assisting stakeholders in planning the transition to ensure that it occurs in a just manner. concurrently, the csir is developing the capacity to assist smmes with their development to ensure that they can adequately respond to the new demand for skills and products in the transitioned energy domain.  . The main research themes mentioned above require various supporting research themes that include the changes in job creation associated with the energy transition, the skills requirement to support the transition, the localisation potential of new technology options in the south african energy domain and assessment of skills development programmes and initiatives to ensure a just transition. Power and energy sector jobs creation quantification. Mapping the political, socio and economic impacts of an energy transition on south africa’s power sector. Analyses of positive and negative impacts of an energy transition (at national, regional or even plant level). Analysing socio-economic and economic losses and gains in the energy value chain (mining, renewable energy, gas, coal). Energy sector value chain analysis which includes international jobs and economic development impacts (ijedi) analysis modelling, economic baseline profile assessment as well as techno-economics. Identification of localisation opportunities in the energy transition and quantifying metrics such as jobs and economic impact when localising various components and activities of the renewable energy value chain in south africa. Develop localisation road map in coal phase-out regions. Re-skilling framework for the energy transition. Options for repurposing of south african coal power stations and cost-benefit analysis. Sensitivity study of electricity tariffs associated with the transition and cost changes in technology costs in south africa. Capacity building with government officials on how to respond to the energy transition impact. Integration of smmes into the energy value chain: unpack smme opportunities in the renewable energy sector. Providing primarily smmes with technology development support, for their business concepts through the establishment of the energy industry support programme. Quick guide to ethics statement and code of conduct. Tel: + 27 12 841 2911. Copyright © csir 2023. all rights reserved. We use cookies and other technologies to improve your browsing experience. by continuing to use our website without changing your settings, you agree to our use of cookies. to find out more, see the privacy notice and legal notice and disclaimer."
7,www.csir.co.za,"What are you looking for?. Csir and afd partner to generate local knowledge to advance south africa’s just energy transition. Tuesday, december 6, 2022 - 10:00. Csir furthers studies to ensure people are at the center of the transition to a low emission, climate resilient economy. On 23 november 2022, the council of scientific and industrial research (csir) signed a €275 000 (approximately r5 million) grant agreement with the french public development bank, agence française de développement (afd), to facilitate further development of south africa’s just energy transition goals. Csir furthers studies to ensure people are at the center of the transition to a low emission, climate resilient economy. On 23 november 2022, the council of scientific and industrial research (csir) signed a €275 000 (approximately r5 million) grant agreement with the french public development bank, agence française de développement (afd), to facilitate further development of south africa’s just energy transition goals. This collaboration will support the development of a holistic cost-benefit analysis study on the repurposing of two coal power plants, as well as the examination of the localisation potential and enterprise development opportunities of both the solar pv and battery storage value chain.  it will contribute to the efforts of ensuring that adequate provision is made to uphold the “just” element of the “just transition,” considering the closure of coal power stations and the development of renewable energy projects. “it gives me great pleasure that we are here discussing elements of what the csir ought to be doing to contribute to south africa’s journey towards the just energy transition. we are appreciative of the collaboration with afd,” says dr bethuel sehlapelo, executive cluster manager of csir smart places. “the work of the csir will generate the necessary insight to enable evidence-based policy design, especially as it relates to re-industrialisation potential, as well as the implementation and scaling of territorial transformation. the work that the csir is doing will be a source of inspiration for other countries with similar challenges,” says philippe orliange, executive director for countries at afd. The just energy transition programme (jetp) will set a precedent for how countries can work together to accelerate the transition to green energy and technology. the cop 26 pledge is expected to prevent between 1-1.5 gigatonnes of emissions over the next 20 years and support south africa to move away from coal and accelerate its transition to a low emission, climate-resilient economy. Csir just energy transition programme manager, aradhna pandarum, states, “we are delighted to find ourselves positioned here. this grant supports two csir projects, and we are really elated to zoom in on communities to gain insight and an understanding of how we can implement the just transition in the most inclusive manner”. In parallel, the csir has launched the csir_ewseta energy industry support programme, through which the csir energy research centre will provide capacity building and technical incubation services to small, medium and micro enterprises in the local energy landscape.   issued by csir strategic communications. Lyndi meyer: csir digital media practitioner. The csir, an entity of the ministry of higher education, science and innovation, is one of the leading scientific and technology research, development and implementation organisations in africa. constituted by an act of parliament in 1945 as a science council, the csir undertakes directed and multidisciplinary research and technological innovation, as well as industrial and scientific development to improve the quality of life of all south africans. for more information, visit www.csir.co.za. Follow us on social media:. Twitter: @csir. facebook: csirsouthafrica. instagram: csirsouthafrica. linkedin: council for scientific and industrial research (csir). youtube: csirnewmedia. The afd group implements france’s policy in the areas of development and international solidarity. the group includes afd, which finances the public sector and non-government organisation’s (ngos), as well as research and education in sustainable development. its subsidiary, proparco, is dedicated to private sector financing and expertise france is a technical cooperation agency. the group finances, supports and accelerates transitions towards a fairer, more resilient world. With our partners, we are building shared solutions with and for the people of the global south. our teams are at work on more than 4 000 projects in the field, in the french overseas departments and territories, in 115 countries and in regions in crisis. we strive to protect global public goods – promoting a stable climate, biodiversity and peace, as well as gender equality, education and healthcare. in this way, we contribute to the commitment of france and the french people to achieve the sustainable development goals towards a world in common. Quick guide to ethics statement and code of conduct. Tel: + 27 12 841 2911. Copyright © csir 2023. all rights reserved."
8,www.csir.co.za,"What are you looking for?. Res4africa foundation welcomes csir and nedbank among its partners. Friday, january 29, 2021 - 00:00. Rome, 28th january 2021 – res4africa foundation widens its field of action by welcoming csir and nedbank: joining a network of excellence from across the european renewable energy value chain, the leading research centre based in pretoria and the financial giant of sandton are the first south african organisations to take part in the assembly of res4africa members. Rome, 28th january 2021 – res4africa foundation widens its field of action by welcoming csir and nedbank: joining a network of excellence from across the european renewable energy value chain, the leading research centre based in pretoria and the financial giant of sandton are the first south african organisations to take part in the assembly of res4africa members. their membership was approved and made official by res4africa’s steering committee, following a solid working relationship established between res4africa, csir and nedbank over the past few months. South africa is the largest electricity market in africa; despite the successful initiation of a renewable energy transition, today south africa’s power sector is experiencing some challenges. the country's economy is dependent on the extraction and export of coal, and its electricity demand has been weak and negatively influenced by frequent supply shortages, rising tariffs and lower economic growth. moreover, its generation mix is based on increasingly older plants, which reduces the reliability of supply, while new generation capacity addition has been slow to materialise despite the approval of the 2019 integrated resource plan that sets out a clear policy for the increased deployment of renewable energy sources. south africa’s renewable resource wealth offers tremendous opportunities for clean and sustainable power generation, which is expected to play a key role in addressing the supply demand imbalance and supporting economic growth and prosperity in the region. “the challenges that south africa’s power sector is experiencing offer the opportunity to scale up the deployment of renewable energy, which has the potential to ensure a more reliable and sustainable electricity service, at a fairer price” states salvatore bernabei, president of the res4africa foundation, “with its partners in south africa, res4africa is carrying out a dedicated programme focused on the country’s energy transformation. we therefore gladly welcome csir and nedbank as partners, a tangible result of the positive collaborations we’ve established over the past months”. Through the dedicated programme, res4africa aims to offer its support to south africa’s decarbonisation process, ensuring that the energy transition occurs in a just way, leaving no one behind. among its key deliverables, there are the release of the publication a just energy transition in south africa (developed in collaboration with csir and erm), an online event attended by more than 400 participants and which saw the participation of both csir and nedbank as speakers, and the launching of am-powering connexions, a series of monthly morning appointments addressed to the south african energy community to share ideas and resources and to create connections and engagement opportunities. “as the largest science council on the african continent, and with a specific focus on the industrialisation and application of new technologies, the council for scientific and industrial research (csir) is pleased to join the res4africa foundation. the csir's energy centre is the leading energy research institute in the region, with the vision ‘to provide the knowledge base for the south african energy transition and beyond’. the csir looks forward to continuing to make its contribution in the transition to sustainable energy sources and to improve the access to clean and affordable energy and to achieve the sustainable development goals set by the united nations. sub-saharan africa presents substantial opportunities for the development and deployment of renewable energy solutions. the integration of the work of the csir energy centre and res4africa foundation is hoped to have lasting positive impact on energy access, sustainability and equality” comments clinton carter-brown, head of the energy centre of csir. “as a bank committed to using our financial expertise to do good, we take seriously our commitment to helping to shape a better world through the realisation of the united nations sustainable development goals. (sgds), particularly ensuring access to affordable, reliable, sustainable and renewable energy for all. to this end, we are honoured to become a member of the renewable energy value chain that seeks to address energy challenges facing the continent, using our collective muscle, and membership of this august network positions the bank to contribute to this vital development”, concludes amith singh, head of energy finance of nedbank cib. Renewable energy solutions for africa (res4africa) foundation promotes the deployment of large scale and decentralised renewable energy in african countries to meet local energy needs for sustainable growth. res4africa gathers a member network from across the clean energy value chain and supports the creation of an enabling environment for renewable energy investments and strategic partnerships. Res4africa foundation via ticino, 14 00198 rome, italy +39 068552236 dario.dangelo@res4africa.org. Quick guide to ethics statement and code of conduct. Tel: + 27 12 841 2911. Copyright © csir 2023. all rights reserved. We use cookies and other technologies to improve your browsing experience. by continuing to use our website without changing your settings, you agree to our use of cookies. to find out more, see the privacy notice and legal notice and disclaimer."
9,www.csir.co.za,"What are you looking for?. Additional renewable energy development zones proposed for wind and solar pv. Monday, november 4, 2019 - 00:00. The second phase of the strategic environmental assessment (sea) for wind and solar photovoltaic (pv) energy in south africa proposes three additional renewable energy development zones (redzs) for wind and solar photovoltaic energy projects. The redzs support the responsible implementation of the integrated resource plan (irp 2019) that was recently gazetted by the minister of mineral resources and energy on 17 october 2019. renewable energy projects that could be developed in these new redz have the potential to make significant contributions to mine rehabilitation and to support a just energy transition in the specified areas including where 12 gw of existing coal power stations are planned to be decommissioned by 2030. . The second phase of the strategic environmental assessment (sea) for wind and solar photovoltaic (pv) energy in south africa proposes three additional renewable energy development zones (redzs) for wind and solar photovoltaic energy projects. The redzs support the responsible implementation of the integrated resource plan (irp 2019) that was recently gazetted by the minister of mineral resources and energy on 17 october 2019. renewable energy projects that could be developed in these new redz have the potential to make significant contributions to mine rehabilitation and to support a just energy transition in the specified areas including where 12 gw of existing coal power stations are planned to be decommissioned by 2030. . The irp 2019 has identified the requirement for at least an additional 14.4 gw of wind and 6.0 gw of solar pv by 2030 amongst a range of other new-build capacity including coal, gas, imported hydro and storage.  there is a distinct need for rehabilitating areas where existing coal power stations are expected to decommission and possibly repurposing these for a range of diverse economic activities including renewable energy deployment which can be “fast tracked” if within the new redzs. The outcomes of the second phase of the sea for wind and solar pv energy in south africa were presented to stakeholders at the csir, in pretoria on 26th september 2019. this study was commissioned by the national department of environment, fisheries and forestry (deff). the two new redzs for pv are in the emalahleni and klerksdorp areas and the third one, which focuses on wind energy, is located to the east of beaufort west. Csir environmental scientist, abulele adams, conveyed that one of the main aims of the phase 2 sea was to identify previously mined areas close to the gauteng area where the highest demand for energy is, in order to incentivise large-scale solar pv projects in this area. “in this way, the new renewable energy projects can contribute towards the rehabilitation of previously mined areas, support job creation in the areas, especially where there may be a decline in mining, and potentially make use of existing infrastructure, such as the electricity grid and roads from previous mining activities,” she explained. she further emphasised that it is important to plan renewable energy development in these previously mined areas to ensure that renewables play a role in the just transition to a low-carbon economy. . The identification of the new redzs involved positive mapping (i.e. “pull factors”), which included factors such as the abundance of the existing wind and solar pv energy resources, access to the power corridors, and other technical criteria required for renewable energy facilities. this was followed by negative mapping (i.e. “push factors”), which included environmental features and areas that are sensitive to the placement of large-scale wind and solar pv facilities. thereafter, an industry prioritisation exercise was conducted to ensure that the proposed areas are aligned with areas that the renewable energy sector identified as priorities for future projects. Csir environmental assessment practitioner, paul lochner, highlighted that renewable energy development can still take place outside of the redzs. “such applications must be considered on a project-by-project basis,” he explained. he added that the redzs are also aligned with the powerline corridors that were identified in the electricity grid infrastructure sea completed in 2016 and gazetted as powerline corridors in february 2018. in this way, the combination of the redzs and power corridors provides strategic guidance to eskom on where to prioritise investment in grid infrastructure. This phase 2 sea follows the phase 1 wind and solar sea (completed in 2015), which identified eight redzs in south africa. these were gazetted for implementation by the minister of environmental affairs, in february 2018. The objective of the seas is to identify areas in the country that are best suited for wind and solar pv energy projects, based on a holistic assessment of technical, strategic planning, environmental and socioeconomic criteria. Issued by the council for scientific and industrial research (csir), in collaboration with the national department of environment, forestry and fisheries. David mandaha: csir media relations manager. Location of 8 existing renewable energy development zones (redzs) and 3 proposed additional zones,. Overlayed onto the electricity grid infrastructure corridors where investment in transmission infrastructure is planned. Quick guide to ethics statement and code of conduct. Tel: + 27 12 841 2911. Copyright © csir 2023. all rights reserved. We use cookies and other technologies to improve your browsing experience. by continuing to use our website without changing your settings, you agree to our use of cookies. to find out more, see the privacy notice and legal notice and disclaimer."
